"year","clp_per_usd","nok_per_usd","nok_per_clp"
1976,13.0541666666667,5.45651666566667,0.417990424436641
1977,21.5358333333333,5.323499999,0.247192663344039
1978,31.6558333333333,5.242249999,0.165601389917604
1979,37.2458333333333,5.06406666566667,0.135963306830742
1980,39,4.939224999,0.126646794846154
1981,39,5.73950833233333,0.147166880316239
1982,50.9083333333333,6.45403333233333,0.126777541312817
1983,78.7883333333333,7.29636666566667,0.0926071964842511
1984,98.4775,8.16145833258333,0.082876376152759
1985,160.859999999917,8.59723333308333,0.053445439096654
1986,192.929999999667,7.39474166666667,0.0383286252354711
1987,219.406666666667,6.73745,0.0307075901674212
1988,245.011666666667,6.51698333333333,0.0265986653696762
1989,266.954166666667,6.9045,0.0258639903853657
1990,304.903333333333,6.25974166666667,0.020530250024598
1991,349.215833333333,6.4829425,0.0185642856972407
1992,362.575833333333,6.21450083333333,0.0171398649937599
1993,404.165833333333,7.09412916666667,0.0175525207268469
1994,420.176666666667,7.05758416666667,0.0167967065440727
1995,396.773333333333,6.33515666666667,0.0159666896296794
1996,412.266666666667,6.44980833333333,0.0156447485446313
1997,419.295,7.07340083333334,0.0168697476319377
1998,460.2875,7.5450975,0.0163921407815767
1999,508.776666666667,7.79917166666667,0.0153292636585797
2000,539.5875,8.80184166666667,0.0163121674736103
2001,634.938333333334,8.99165416666667,0.0141614605617868
2002,688.936666666667,7.98377883333333,0.0115885526487679
2003,691.3975,7.08021666666667,0.0102404429675645
2004,609.529166666667,6.74083333333333,0.0110590824885328
2005,559.7675,6.4425,0.011509242676647
2006,530.275,6.41333333333333,0.0120943535586881
2007,522.464166666667,5.86166666666666,0.0112192702210837
2008,522.461035833334,5.64,0.010795063388802
2009,560.85989484127,6.28833333333333,0.0112119504196552
2010,510.249166666667,6.04416666666666,0.0118455199175566
2011,483.6675,5.60460730676328,0.0115877277401588
2012,486.471303391053,5.8175,0.011958567667708
2013,495.272877645503,5.875,0.0118621476466254
2014,570.34821612744,6.30166666666667,0.011048805779483
2015,654.124084254196,8.06416666666667,0.0123281910279471
2016,676.957736044657,8.4,0.012408455584066
2017,648.833792598261,8.27166666666666,0.0127485139661772
2018,641.276813066395,8.1325,0.0126817309378657
2019,702.897422561529,8.8,0.0125196077230311
2020,792.727206103169,9.41583333333334,0.0118777724049853
2021,758.955378658977,8.59,0.0113181884489414
2022,873.314189543014,9.61416666666667,0.0110088291038733
2023,840.066526651499,10.5633333333333,0.0125744009530277
2024,943.572167421488,10.7458333333333,0.011388459414502
