"country","year","quantity_tonnes","value_usd1000","price_usd_per_kg"
"Chile",1976,0,0,NA
"Chile",1977,0,0,NA
"Chile",1978,0,1,Inf
"Chile",1979,7,47,6.71428571428571
"Chile",1980,3,20,6.66666666666667
"Chile",1981,112,421,3.75892857142857
"Chile",1982,83,254,3.06024096385542
"Chile",1983,54,134,2.48148148148148
"Chile",1984,51,186,3.64705882352941
"Chile",1985,323,1228,3.80185758513932
"Chile",1986,899,3790,4.21579532814238
"Chile",1987,1234,5786,4.68881685575365
"Chile",1988,3169,19785,6.24329441464184
"Chile",1989,6381,39081,6.12458862247297
"Chile",1990,20181,100086,4.95941727367326
"Chile",1991,27414,135916,4.95790472021595
"Chile",1992,38432,209715,5.45678080766028
"Chile",1993,43723,214385,4.90325457996935
"Chile",1994,52775,237982,4.50936996684036
"Chile",1995,75937,374840,4.93619711076287
"Chile",1996,96393,380288,3.94518274148538
"Chile",1997,118946,458545,3.85506868663091
"Chile",1998,141608,499893,3.5301183548952
"Chile",1999,120169,592816,4.93318576338324
"Chile",2000,158668,706017,4.44964958277662
"Chile",2001,264534,781821,2.95546508199324
"Chile",2002,243162,744294,3.06089767315617
"Chile",2003,215389,884404,4.10607784055825
"Chile",2004,265451,1087370,4.09631156032563
"Chile",2005,308664,1367633,4.43081473706036
"Chile",2006,292802,1722021,5.88117909030676
"Chile",2007,288057,1730199,6.00644664076901
"Chile",2008,321714,1788077,5.55797074420137
"Chile",2009,270215,1514602,5.60517365801306
"Chile",2010,170807,1162975,6.80870807402507
"Chile",2011,255112,1866144,7.31499890244285
"Chile",2012,346986,2003988,5.77541457004029
"Chile",2013,417068,2787914,6.68455503658876
"Chile",2014,490991,3664079,7.4626194777501
"Chile",2015,523493,3081104,5.88566418271113
"Chile",2016,466600,3459113,7.41344406343763
"Chile",2017,500278,4163242,8.3218570474816
"Chile",2018,585788,4749643,8.10812614802625
"Chile",2019,595005.37,4705075.87,7.90761916989085
"Chile",2020,652870.6,4010737.78,6.14323539764235
"Chile",2021,615189.78,4856626.67,7.89451780229509
"Chile",2022,615706.34,5897398.89,9.57826565501989
"Chile",2023,636883.62,5792341.57,9.09481950564218
"Chile",2024,646941.28,5798542.72,8.96301240817404
"Norway",1976,1910,13301,6.96387434554974
"Norway",1977,2285,17034,7.454704595186
"Norway",1978,3672,24714,6.73039215686275
"Norway",1979,4971,45543,9.16173808086904
"Norway",1980,4300,49290,11.4627906976744
"Norway",1981,7896,55512,7.03039513677812
"Norway",1982,9662,65942,6.82488097702339
"Norway",1983,15901,102018,6.41582290421986
"Norway",1984,20368,122843,6.03117635506677
"Norway",1985,24855,161994,6.51756185878093
"Norway",1986,40091,240051,5.98765308922202
"Norway",1987,44572,343217,7.70028268868348
"Norway",1988,67028,488229,7.28395595870383
"Norway",1989,98313,533766,5.42925147233835
"Norway",1990,132892,807498,6.07634771092316
"Norway",1991,134792,774060,5.74262567511425
"Norway",1992,133598,827454,6.19361068279465
"Norway",1993,143100,755346,5.27844863731656
"Norway",1994,170360,913501,5.36218008922282
"Norway",1995,207370,1072971,5.17418623716063
"Norway",1996,238920,1084622,4.53968692449355
"Norway",1997,262510,1087778,4.14375833301589
"Norway",1998,282620,1163844,4.11805250866888
"Norway",1999,338625,1376862,4.06603765227021
"Norway",2000,344697,1398698,4.057760874043
"Norway",2001,338935,1113307,3.2847212592385
"Norway",2002,360901,1203180,3.33382284892533
"Norway",2003,414882,1414361,3.40906812057404
"Norway",2004,441225,1663470,3.77011728709842
"Norway",2005,487636,2107765,4.32241466995874
"Norway",2006,513116,2681554,5.22601906781313
"Norway",2007,618616,2992587,4.83755189002548
"Norway",2008,633858,3252706,5.13160045309833
"Norway",2009,722249,3789861,5.24730529221917
"Norway",2010,795445,5191293,6.52627522958847
"Norway",2011,838346,5206940,6.21096778657022
"Norway",2012,995197,5081800,5.10632568225186
"Norway",2013,956800,6750787,7.05558841973244
"Norway",2014,996668,6950382,6.97361809549419
"Norway",2015,1033356,5962584,5.77011601035848
"Norway",2016,978985,7314702,7.47172020000306
"Norway",2017,989348,7794125,7.87804190234377
"Norway",2018,1038282,8308174,8.00184728233755
"Norway",2019,1102833.67,8212287.03,7.44653273961068
"Norway",2020,1121926.77,7465175.44,6.65388832820167
"Norway",2021,1262198.94,9420732.08,7.46374583391743
"Norway",2022,1214946.97,10878451.04,8.95384844657047
"Norway",2023,1191930.64,11445815.1,9.60275264003617
"Norway",2024,1208154.75,11275886.29,9.33314733894809
