"country","commodity","year","quantity_tonnes","flag_qty","value_usd1000","flag_val"
"Chile","Atlantic and Danube salmons, fresh or chilled",1976,0,"...",0,"..."
"Chile","Atlantic and Danube salmons, fresh or chilled",1977,0,"...",0,"..."
"Chile","Atlantic and Danube salmons, fresh or chilled",1978,0,"...",0,"..."
"Chile","Atlantic and Danube salmons, fresh or chilled",1979,0,"...",0,"..."
"Chile","Atlantic and Danube salmons, fresh or chilled",1980,0,"...",0,"..."
"Chile","Atlantic and Danube salmons, fresh or chilled",1981,0,"...",0,"..."
"Chile","Atlantic and Danube salmons, fresh or chilled",1982,0,"...",0,"..."
"Chile","Atlantic and Danube salmons, fresh or chilled",1983,0,"...",0,"..."
"Chile","Atlantic and Danube salmons, fresh or chilled",1984,0,"...",0,"..."
"Chile","Atlantic and Danube salmons, fresh or chilled",1985,0,"...",0,"..."
"Chile","Atlantic and Danube salmons, fresh or chilled",1986,0,"...",0,"..."
"Chile","Atlantic and Danube salmons, fresh or chilled",1987,123,"",669,""
"Chile","Atlantic and Danube salmons, fresh or chilled",1988,62,"",406,""
"Chile","Atlantic and Danube salmons, fresh or chilled",1989,1387,"",7080,""
"Chile","Atlantic and Danube salmons, fresh or chilled",1990,7444,"",40044,""
"Chile","Atlantic and Danube salmons, fresh or chilled",1991,10904,"",53566,""
"Chile","Atlantic and Danube salmons, fresh or chilled",1992,0,"...",0,"..."
"Chile","Atlantic and Danube salmons, fresh or chilled",1993,0,"...",0,"..."
"Chile","Atlantic and Danube salmons, fresh or chilled",1994,0,"...",0,"..."
"Chile","Atlantic and Danube salmons, fresh or chilled",1995,0,"...",0,"..."
"Chile","Atlantic and Danube salmons, fresh or chilled",1996,0,"...",0,"..."
"Chile","Atlantic and Danube salmons, fresh or chilled",1997,0,"...",0,"..."
"Chile","Atlantic and Danube salmons, fresh or chilled",1998,0,"...",0,"..."
"Chile","Atlantic and Danube salmons, fresh or chilled",1999,0,"...",0,"..."
"Chile","Atlantic and Danube salmons, fresh or chilled",2000,0,"...",0,"..."
