"year","country","quantity_tonnes","value_usd1000","price_usd_per_kg","nok_per_usd","clp_per_usd","price_local"
1976,"Chile",0,0,NA,5.45651666566667,13.0541666666667,NA
1977,"Chile",0,0,NA,5.323499999,21.5358333333333,NA
1978,"Chile",0,1,Inf,5.242249999,31.6558333333333,Inf
1979,"Chile",7,47,6.71428571428571,5.06406666566667,37.2458333333333,250.079166666666
1980,"Chile",3,20,6.66666666666667,4.939224999,39,260
1981,"Chile",112,421,3.75892857142857,5.73950833233333,39,146.598214285714
1982,"Chile",83,254,3.06024096385542,6.45403333233333,50.9083333333333,155.791767068273
1983,"Chile",54,134,2.48148148148148,7.29636666566667,78.7883333333333,195.511790123457
1984,"Chile",51,186,3.64705882352941,8.16145833258333,98.4775,359.153235294118
1985,"Chile",323,1228,3.80185758513932,8.59723333308333,160.859999999917,611.566811145196
1986,"Chile",899,3790,4.21579532814238,7.39474166666667,192.929999999667,813.353392657105
1987,"Chile",1234,5786,4.68881685575365,6.73745,219.406666666667,1028.75767693139
1988,"Chile",3169,19785,6.24329441464184,6.51698333333333,245.011666666667,1529.67997002209
1989,"Chile",6381,39081,6.12458862247297,6.9045,266.954166666667,1634.98445188842
1990,"Chile",20181,100086,4.95941727367326,6.25974166666667,304.903333333333,1512.14285813389
1991,"Chile",27414,135916,4.95790472021595,6.4829425,349.215833333333,1731.37882845748
1992,"Chile",38432,209715,5.45678080766028,6.21450083333333,362.575833333333,1978.49684865476
1993,"Chile",43723,214385,4.90325457996935,7.09412916666667,404.165833333333,1981.72797335879
1994,"Chile",52775,237982,4.50936996684036,7.05758416666667,420.176666666667,1894.73204143376
1995,"Chile",75937,374840,4.93619711076287,6.33515666666667,396.773333333333,1958.55138162775
1996,"Chile",96393,380288,3.94518274148538,6.44980833333333,412.266666666667,1626.46733822304
1997,"Chile",118946,458545,3.85506868663091,7.07340083333334,419.295,1616.41102496091
1998,"Chile",141608,499893,3.5301183548952,7.5450975,460.2875,1624.86935227882
1999,"Chile",120169,592816,4.93318576338324,7.79917166666667,508.776666666667,2509.88980874158
2000,"Chile",158668,706017,4.44964958277662,8.80184166666667,539.5875,2400.97529424648
2001,"Chile",264534,781821,2.95546508199324,8.99165416666667,634.938333333334,1876.53807338565
2002,"Chile",243162,744294,3.06089767315617,7.98377883333333,688.936666666667,2108.76463995197
2003,"Chile",215389,884404,4.10607784055825,7.08021666666667,691.3975,2838.93195376737
2004,"Chile",265451,1087370,4.09631156032563,6.74083333333333,609.529166666667,2496.82137177232
2005,"Chile",308664,1367633,4.43081473706036,6.4425,559.7675,2480.22608832744
2006,"Chile",292802,1722021,5.88117909030676,6.41333333333333,530.275,3118.64224211242
2007,"Chile",288057,1730199,6.00644664076901,5.86166666666666,522.464166666667,3138.15313879718
2008,"Chile",321714,1788077,5.55797074420137,5.64,522.461035833334,2903.82315214681
2009,"Chile",270215,1514602,5.60517365801306,6.28833333333333,560.85989484127,3143.71710840026
2010,"Chile",170807,1162975,6.80870807402507,6.04416666666666,510.249166666667,3474.1376208479
2011,"Chile",255112,1866144,7.31499890244285,5.60460730676328,483.6675,3538.02723164728
2012,"Chile",346986,2003988,5.77541457004029,5.8175,486.471303391053,2809.57345351118
2013,"Chile",417068,2787914,6.68455503658876,5.875,495.272877645503,3310.67880875106
2014,"Chile",490991,3664079,7.4626194777501,6.30166666666667,570.34821612744,4256.29170677266
2015,"Chile",523493,3081104,5.88566418271113,8.06416666666667,654.124084254196,3849.95469374364
2016,"Chile",466600,3459113,7.41344406343763,8.4,676.957736044657,5018.58830947844
2017,"Chile",500278,4163242,8.3218570474816,8.27166666666666,648.833792598261,5399.50206957805
2018,"Chile",585788,4749643,8.10812614802625,8.1325,641.276813066395,5199.55329614658
2019,"Chile",595005.37,4705075.87,7.90761916989085,8.8,702.897422561529,5558.24513311442
