Reporting country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S,[2021],S,[2022],S,[2023],S,[2024],S
Chile,"Atlantic and Danube salmons, fresh or chilled",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,123,,62,,1387,,7444,,10904,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,14200,,12231,,15362,,15021,,14677,,19926,,32086,,27772,,28576,,39481,,55397,,67181,,86933,,95496,,90580,,94252,,123209,,135105.41,,122054.75,,125390.65,,125865.37,,142796.29,,148165.43,
Chile,"Atlantic salmon and Danube salmon, frozen",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,97,,909,,1590,,3866,,4458,,3655,,3907,,3335,,5235,,3587,,2634,,7448,,13956,,14020,,7746,,19112,,30811,,30769,,21642,,36071,,50706,,14110,,24660,,35938,,68714,,107413,,110862,,98730,,87724,,114089,,103241.77,,125485.89,,88628.22,,89650.95,,88016.22,,66872.44,
Chile,"Atlantic salmon, not minced, prepared or preserved",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,32,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,320,,392,,362,,0,...,294,,0,...,0,...,0,...,0,...,2660,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Chile,"Pacific salmons, fresh or chilled",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,305,,995,,1725,,519,,1189,,947,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,543,,71,,469,,336,,523,,403,,284,,104,,474,,193,,434,,217,,19,,4,,1017,,796,,335,,433.35,,503.12,,1759.44,,2051.88,,4224.87,,3981.26,
Chile,"Pacific salmons, frozen, nei",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,N,0,...,1,,104,,82,,53,,41,,299,,558,,96,,1342,,4348,,10250,,13649,,17644,,17712,,23426,,34178,,40625,,44170,,56933,,58463,,66587,,100786,,65849,,54038,,62010,,74059,,72938,,77047,,86210,,87779,,79412,,108041,,111112,,103532,,101635,,117914,,81487,,119095,,118355,,122563.81,,140273.64,,121572.05,,132917.72,,128565.35,,148429.64,
Chile,"Salmon fillets, dried, salted or in brine",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1012,,1322,,1154,,696,,147,,213,,5,,0,...,0,...,0,...,0,...,0,...,0,N,0,...,0,...,44,,0,...,0,...,0,...,0,...,0.18,,0.28,,0,...
Chile,"Salmon fillets, fresh or chilled",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,7,,0,...,0,...,0,...,0,...,0,...,1283,,3041,,5851,,9768,,17441,,30668,,36917,,33718,,49015,,75047,,77974,E,82168,,84594,,83322,,70305,,74180,,71997,,37416,,20357,,41391,,73500,,83486,,95454,,103846,,97704,,97802,,118837,,124980.41,,139889.08,,145758.21,,146434.42,,152720.01,,146967.7,
Chile,"Salmon fillets, frozen",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,N,2,,0,...,0,...,0,...,0,...,0,...,938,,2248,,2624,,4582,,6250,,11231,,19977,,12590,,18625,,42856,,48000,E,31574,,47951,,59054,,56833,,43518,,50422,,37149,,15740,,24399,,41218,,64037,,69689,,66512,,69444,,70696,,74324,,69237.59,,83322.26,,90862,,109650.28,,112999.76,,124368.83,
Chile,"Salmon minced, prepared or preserved",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,164,,145,,292,,104,,38,,198,,148,,90,,75,,229,,100,,101,,99,,361,,308,,794,,617,,332,,361,,28,,4,,2,,3,,20,,6,,12,,9,,102.19,,254.46,,171.39,,284.26,,126.78,,71.95,
Chile,"Salmon nei, not minced, prepared or preserved",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,9,,19,,9,,0,N,4,,4,,151,,140,,122,,182,,380,,450,,450,,243,,662,,705,,724,,1577,,1456,,3704,,4563,,4653,,4680,,3476,,4974,,4507,,1222,,1044,,1443,,1738,,1042,,685,,565,,407,,1747,,2073.56,,2769.26,,1896.59,,2215.97,,1531.12,,2239.87,
Chile,"Salmon roes, cured",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,37,,43,,9,,24,,6,,0,...,2,,4,,15,,1,,0,N,0,N,2,,2,,0,...,0,...,0,...,0,...,0.69,,0,...,0,...,1.46,,0.76,
Chile,"Salmon roes, frozen",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1,,5,,4,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,264,,105,,77,,90,,199,,76,,167,,75,,105,,59,,240,,151,,152,,69,,46,,0,N,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Chile,"Salmon sides, salted or in brine",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,3,,2,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,13,,153,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Chile,"Salmon steaks, frozen",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,10263,,13319,,15943,,23373,,27698,,36056,,25949,,16346,,5708,,7495,,11672,,15564,,16797,,15734,,15707,,20753,,24082,,25889.51,,26354.06,,25436.11,,0,...,0,...,0,...
Chile,"Salmonoids fillets, dried, salted or in brine, but not smoked",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,313,,177,,148,,198,,937,,504,,21,,13,,0,...,0,...,0,N,0,...,0,N,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Chile,"Salmonoids meat, fresh or chilled, nei",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,26,,0,...,0,...,0,...,582,,1225,,1159,,1717,,1710,,2830,,3095,,2928.86,,2104.26,,3482.95,,4088.44,,3769.57,,3000.41,
