Reporting country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S,[2021],S,[2022],S,[2023],S,[2024],S
Chile,"Atlantic and Danube salmons, fresh or chilled",Exports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,669,,406,,7080,,40044,,53566,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,34568,,36165,,45774,,48377,,71306,,100535,,143308,,146047,,199617,,247801,,255060,,417942,,526031,,475789,,603362,,669329,,844209,,868983.62,,537126.83,,829717.74,,1025645.78,,1102020.98,,1140425.39,
Chile,"Atlantic salmon and Danube salmon, frozen",Exports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,510,,4255,,7687,,20545,,21180,,14341,,16957,,11802,,16616,,12357,,8497,,25376,,27877,,28468,,22335,,55984,,98845,,143903,,101845,,147078,,171691,,77897,,161757,,167266,,378007,,627260,,497054,,548278,,591497,,709663,,608341.42,,550897.08,,485978.63,,691815.64,,636501.42,,465411.13,
Chile,"Atlantic salmon, not minced, prepared or preserved",Exports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,202,,1,,0,...,0,...,0,...,0,...,0,...,0,...,1453,,2142,,2825,,0,...,1150,,0,...,0,...,0,...,0,...,17997,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Chile,"Pacific salmons, fresh or chilled",Exports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1271,,4461,,10004,,2590,,5270,,4308,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,912,,196,,1320,,999,,2079,,1630,,1120,,497,,2474,,1010,,1625,,866,,170,,21,,6522,,4933,,2186,,2628.96,,3057.52,,11857.11,,14028.71,,25504.68,,25093.41,
Chile,"Pacific salmons, frozen, nei",Exports,Value (USD 1000),USD (1000),0,...,0,...,1,,0,...,8,,371,,242,,124,,157,,1154,,2301,,395,,8949,,28421,,46518,,67557,,103104,,84642,,97896,,168843,,136462,,159706,,151108,,264443,,246203,,232312,,147320,,177150,,183736,,263201,,269166,,271367,,293196,,410448,,402420,,608479,,517845,,438255,,596326,,536570,,449913,,635984,,760714,,790829.04,,646441.19,,661692.44,,887266.19,,794396.64,,895078.08,
Chile,"Salmon fillets, dried, salted or in brine",Exports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,4321,,6343,,5644,,3337,,492,,788,,18,,0,...,0,...,0,...,0,...,0,...,5,,0,...,0,...,388,,0,...,0,...,0,...,0,...,21.64,,32.04,,0,...
Chile,"Salmon fillets, fresh or chilled",Exports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,16,,0,...,0,...,0,...,0,...,0,...,8025,,18888,,34312,,55336,,87499,,136473,,183003,,200821,,274162,,277070,,300597,E,366782,,366101,,405738,,507833,,535886,,512614,,288115,,207169,,407947,,511435,,752687,,902667,,778230,,947548,,1070257,,1231112,,1250658.16,,1092694.02,,1502070.54,,1762161.1,,1785642.25,,1707096.07,
Chile,"Salmon fillets, frozen",Exports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,2,,11,,0,...,0,...,0,...,0,...,0,...,6778,,15973,,16193,,29898,,35579,,53510,,64612,,68235,,97657,,141980,,140000,E,141592,,229268,,281769,,380296,,291290,,327440,,250763,,145632,,231570,,281841,,499837,,649716,,485888,,603910,,778138,,742686,,691875.49,,689963.73,,863985.48,,1354177.21,,1313651.68,,1417909.79,
Chile,"Salmon minced, prepared or preserved",Exports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1045,,772,,1024,,510,,260,,1109,,726,,386,,524,,1468,,530,,387,,769,,2808,,2596,,7024,,5495,,2538,,3925,,286,,32,,25,,59,,219,,131,,185,,164,,810.53,,2065.62,,1435.53,,3396.62,,1244.68,,761.74,
Chile,"Salmon nei, not minced, prepared or preserved",Exports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,8,,18,,6,,1,,16,,34,,1103,,1024,,916,,1185,,2213,,2587,,2621,,1152,,4588,,4891,,4789,,6325,,5877,,20585,,26050,,27133,,31119,,23279,,35796,,36622,,10676,,13405,,14932,,16794,,11097,,6601,,3679,,4242,,22401,,26801.94,,34771.95,,24871,,33977.09,,25947.41,,37778.07,
